Normal division test file,,
A,B,A/B
0.000000000000000,1.010000000000000,0.000000000000000
0.250000000000000,1.257000000000000,0.198886237072395
0.500000000000000,1.489000000000000,0.335795836131632
0.750000000000000,1.691000000000000,0.443524541691307
1.000000000000000,1.851000000000000,0.540248514316586
1.240000000000000,1.955000000000000,0.634271099744245
1.500000000000000,2.007000000000000,0.747384155455904
1.750000000000000,1.994000000000000,0.877632898696088
2.000000000000000,1.919000000000000,1.042209484106310
2.250000000000000,1.788000000000000,1.258389261744970
2.500000000000000,1.608000000000000,1.554726368159200
2.750000000000000,1.391000000000000,1.976994967649170
3.000000000000000,1.151000000000000,2.606429192006950
3.500000000000000,0.659000000000000,5.311077389984820
